Model;Constraint;NumExperts;Position;RunPath;Filename
Residual;relative;10;2;lukas-struppek/final_hardConstr_resnet18/4emxelku;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=2_0_final.tar
Residual;relative;10;2;lukas-struppek/final_hardConstr_resnet18/1trwd1up;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=2_1_final.tar
Residual;relative;10;2;lukas-struppek/final_hardConstr_resnet18/2wrrsklw;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=2_2_final.tar
Residual;relative;10;3;lukas-struppek/final_hardConstr_resnet18/c2uui7cf;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=3_0_final.tar
Residual;relative;10;3;lukas-struppek/final_hardConstr_resnet18/1aum8qfx;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=3_1_final.tar
Residual;relative;10;3;lukas-struppek/final_hardConstr_resnet18/20j34ccm;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=3_2_final.tar
Residual;relative;10;4;lukas-struppek/final_hardConstr_resnet18/2bm0p23w;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=4_0_final.tar
Residual;relative;10;4;lukas-struppek/final_hardConstr_resnet18/usihs89o;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=4_1_final.tar
Residual;relative;10;4;lukas-struppek/final_hardConstr_resnet18/12k00tl7;Residual_10_topK=2_RelativeImportanceGate_constr=0.5_moePosition=4_2_final.tar
Residual;relative;4;1;lukas-struppek/final_hardConstr_resnet18/h1418rb0;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=1_0_final.tar
Residual;relative;4;1;lukas-struppek/final_hardConstr_resnet18/6g385qdr;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=1_1_final.tar
Residual;relative;4;1;lukas-struppek/final_hardConstr_resnet18/d8c7cg6y;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=1_2_final.tar
Residual;relative;4;2;lukas-struppek/final_hardConstr_resnet18/3i3g5rrl;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=2_0_final.tar
Residual;relative;4;2;lukas-struppek/final_hardConstr_resnet18/2g272qxg;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=2_1_final.tar
Residual;relative;4;2;lukas-struppek/final_hardConstr_resnet18/2vzl17s7;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=2_2_final.tar
Residual;relative;4;3;lukas-struppek/final_hardConstr_resnet18/20qwt7e5;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=3_0_final.tar
Residual;relative;4;3;lukas-struppek/final_hardConstr_resnet18/v7923jrv;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=3_1_final.tar
Residual;relative;4;3;lukas-struppek/final_hardConstr_resnet18/2tn7qejc;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=3_2_final.tar
Residual;relative;4;4;lukas-struppek/final_hardConstr_resnet18/svn0sxqp;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=4_0_final.tar
Residual;relative;4;4;lukas-struppek/final_hardConstr_resnet18/3hbb8cx7;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=4_1_final.tar
Residual;relative;4;4;lukas-struppek/final_hardConstr_resnet18/2nkrqx10;Residual_4_topK=2_RelativeImportanceGate_constr=0.5_moePosition=4_2_final.tar
Residual;mean;4;1;lukas-struppek/final_hardConstr_resnet18/2b82yg3r;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=1_0_final.tar
Residual;mean;4;1;lukas-struppek/final_hardConstr_resnet18/1w0u95hd;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=1_1_final.tar
Residual;mean;4;1;lukas-struppek/final_hardConstr_resnet18/3k8cjdxb;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=1_2_final.tar
Residual;mean;4;2;lukas-struppek/final_hardConstr_resnet18/27vlwi6d;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=2_0_final.tar
Residual;mean;4;2;lukas-struppek/final_hardConstr_resnet18/1y71bda4;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=2_1_final.tar
Residual;mean;4;2;lukas-struppek/final_hardConstr_resnet18/1h5h00zd;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=2_2_final.tar
Residual;mean;4;3;lukas-struppek/final_hardConstr_resnet18/xqcw66r5;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=3_0_final.tar
Residual;mean;4;3;lukas-struppek/final_hardConstr_resnet18/9uoob2r1;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=3_1_final.tar
Residual;mean;4;3;lukas-struppek/final_hardConstr_resnet18/3mdpbzqu;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=3_2_final.tar
Residual;mean;4;4;lukas-struppek/final_hardConstr_resnet18/364535o8;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=4_0_final.tar
Residual;mean;4;4;lukas-struppek/final_hardConstr_resnet18/h7coj9i1;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=4_1_final.tar
Residual;mean;4;4;lukas-struppek/final_hardConstr_resnet18/3i5i55r3;Residual_4_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=4_2_final.tar
Residual;mean;10;1;lukas-struppek/final_hardConstr_resnet18/3kv5bqrl;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=1_0_final.tar
Residual;mean;10;1;lukas-struppek/final_hardConstr_resnet18/3bjce1nf;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=1_1_final.tar
Residual;mean;10;1;lukas-struppek/final_hardConstr_resnet18/1nsoztl2;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=1_2_final.tar
Residual;mean;10;2;lukas-struppek/final_hardConstr_resnet18/1lwsnun4;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=2_0_final.tar
Residual;mean;10;2;lukas-struppek/final_hardConstr_resnet18/1715lbyz;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=2_1_final.tar
Residual;mean;10;2;lukas-struppek/final_hardConstr_resnet18/5npknpx0;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=2_2_final.tar
Residual;mean;10;3;lukas-struppek/final_hardConstr_resnet18/346l0zxr;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=3_0_final.tar
Residual;mean;10;3;lukas-struppek/final_hardConstr_resnet18/30qbyt3g;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=3_1_final.tar
Residual;mean;10;3;lukas-struppek/final_hardConstr_resnet18/2cc9l7io;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=3_2_final.tar
Residual;mean;10;4;lukas-struppek/final_hardConstr_resnet18/xvow2k9c;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=4_0_final.tar
Residual;mean;10;4;lukas-struppek/final_hardConstr_resnet18/10pztsyh;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=4_1_final.tar
Residual;mean;10;4;lukas-struppek/final_hardConstr_resnet18/2d2i8spb;Residual_10_topK=2_AbsoluteImportanceGate_constr=0.3_moePosition=4_2_final.tar
